实验编号,序号,作物名称,种质名称,科名,属名,种名或亚种名,原产地,原产省,原产国,来源地,资源类型,主要特性,生育周期,系谱,选育单位,育成年份,海拔,经度,纬度,鉴定试验地点,土壤类型,生态系统类型,年均温度,年均降雨量,图像,抗旱性鉴定结果,保存单位,库编号,圃编号,引种号,采集号,保存资源类型,保存方式,实物状态,共享方式,获取途径,联系方式
1,YAAS0001,水稻,老造谷(一),Gramineae(禾本科),Oryza L.(稻属),Oryza sativa L. spp. hsien Ting(籼亚种),江城县,云南,中国,云南昆明,地方品种,,1年生,,,,1130,10152,2236,云南元江,砂壤,,,,,芽期强,云南省农业科学院生物技术与种质资源研究所,001(015)-1-1,,,,种子,库,好,合作研究,现场获取,云南省农业科学院生物技术与种质资源研究所 伍少云 650223
2,YAAS0002,水稻,小白糯,Gramineae(禾本科),Oryza L.(稻属),Oryza sativa L. spp. hsien Ting(籼亚种),江城县,云南,中国,云南昆明,地方品种,,1年生,,,,1130,10152,2236,云南元江,砂壤,,,,,芽期极强,云南省农业科学院生物技术与种质资源研究所,001(092)-1-2,,,,种子,库,好,合作研究,现场获取,云南省农业科学院生物技术与种质资源研究所 伍少云 650223
3,YAAS0003,水稻,安南谷,Gramineae(禾本科),Oryza L.(稻属),Oryza sativa L. spp. hsien Ting(籼亚种),江城县,云南,中国,云南昆明,地方品种,,1年生,,,,1130,10152,2236,云南元江,砂壤,,,,,芽期极强,云南省农业科学院生物技术与种质资源研究所,001(122)-1-1,,,,种子,库,好,合作研究,现场获取,云南省农业科学院生物技术与种质资源研究所 伍少云 650223
5,YAAS0004,水稻,扎西玛(2),Gramineae(禾本科),Oryza L.(稻属),Oryza sativa L. spp. keng Ting(粳亚种),孟连县,云南,中国,云南昆明,地方品种,,1年生,,,, 960, 9937,2220,云南元江,砂壤,,,,,芽期强,云南省农业科学院生物技术与种质资源研究所,002(131)-4-1,,,,种子,库,好,合作研究,现场获取,云南省农业科学院生物技术与种质资源研究所 伍少云 650223
7,YAAS0005,水稻,俄鼋各(接骨糯),Gramineae(禾本科),Oryza L.(稻属),Oryza sativa L. spp. keng Ting(粳亚种),西盟县,云南,中国,云南昆明,地方品种,,1年生,,,,1940, 9927,2244,云南元江,砂壤,,,,,芽期中等,云南省农业科学院生物技术与种质资源研究所,004(057)-4-1,,,,种子,库,好,合作研究,现场获取,云南省农业科学院生物技术与种质资源研究所 伍少云 650223
9,YAAS0006,水稻,大香糯,Gramineae(禾本科),Oryza L.(稻属),Oryza sativa L. spp. keng Ting(粳亚种),墨江县,云南,中国,云南昆明,地方品种,,1年生,,,,1310,10143,2326,云南元江,砂壤,,,,,芽期强,云南省农业科学院生物技术与种质资源研究所,010(222)-3-2,,,,种子,库,好,合作研究,现场获取,云南省农业科学院生物技术与种质资源研究所 伍少云 650223
10,YAAS0007,水稻,大白糯,Gramineae(禾本科),Oryza L.(稻属),Oryza sativa L. spp. keng Ting(粳亚种),墨江县,云南,中国,云南昆明,地方品种,,1年生,,,,1310,10143,2326,云南元江,砂壤,,,,,芽期强,云南省农业科学院生物技术与种质资源研究所,010(231)-3-2,,,,种子,库,好,合作研究,现场获取,云南省农业科学院生物技术与种质资源研究所 伍少云 650223
11,YAAS0008,水稻,挫落谷,Gramineae(禾本科),Oryza L.(稻属),Oryza sativa L. spp. keng Ting(粳亚种),墨江县,云南,中国,云南昆明,地方品种,,1年生,,,,1310,10143,2326,云南元江,砂壤,,,,,芽期强,云南省农业科学院生物技术与种质资源研究所,010(243)-3-2,,,,种子,库,好,合作研究,现场获取,云南省农业科学院生物技术与种质资源研究所 伍少云 650223
13,YAAS0009,水稻,黄皮白谷,Gramineae(禾本科),Oryza L.(稻属),Oryza sativa L. spp. hsien Ting(籼亚种),墨江县,云南,中国,云南昆明,地方品种,,1年生,,,,1310,10143,2326,云南元江,砂壤,,,,,芽期强,云南省农业科学院生物技术与种质资源研究所,010(345)-1-1,,,,种子,库,好,合作研究,现场获取,云南省农业科学院生物技术与种质资源研究所 伍少云 650223
14,YAAS0010,水稻,紫糯,Gramineae(禾本科),Oryza L.(稻属),Oryza sativa L. spp. hsien Ting(籼亚种),墨江县,云南,中国,云南昆明,地方品种,,1年生,,,,1310,10143,2326,云南元江,砂壤,,,,,芽期中等,云南省农业科学院生物技术与种质资源研究所,010(378)-1-2,,,,种子,库,好,合作研究,现场获取,云南省农业科学院生物技术与种质资源研究所 伍少云 650223
15,YAAS0011,水稻,山罗平,Gramineae(禾本科),Oryza L.(稻属),Oryza sativa L. spp. keng Ting(粳亚种),墨江县,云南,中国,云南昆明,地方品种,,1年生,,,,1310,10143,2326,云南元江,砂壤,,,,,芽期中等,云南省农业科学院生物技术与种质资源研究所,010(433)-4-1,,,,种子,库,好,合作研究,现场获取,云南省农业科学院生物技术与种质资源研究所 伍少云 650223
